transaction_date,total_transactions,total_credit_amount,total_debit_amount,total_amount
2024-07-25 06:48:58,1,0.0,16504.69,16504.69
2024-07-25 06:54:04,1,0.0,5404.81,5404.81
2024-07-25 06:59:04,1,0.0,23146.8,23146.8
2024-07-25 07:21:06,1,0.0,12765.16,12765.16
2024-07-25 07:27:23,1,0.0,8293.22,8293.22
2024-07-25 07:47:36,1,0.0,92884.94,92884.94
2024-07-25 09:26:56,1,0.0,12064.69,12064.69
2024-07-25 10:40:52,1,0.0,5073.49,5073.49
2024-07-25 11:24:21,1,0.0,14114.72,14114.72
2024-07-25 12:26:20,1,0.0,65114.47,65114.47
2024-07-25 12:49:35,1,38432.72,0.0,38432.72
2024-07-25 13:07:59,1,0.0,4154.39,4154.39
2024-07-25 13:28:55,1,0.0,639.41,639.41
2024-07-25 13:50:08,1,0.0,12618.27,12618.27
2024-07-25 14:21:48,1,0.0,9344.05,9344.05
2024-07-25 15:02:32,1,11775.28,0.0,11775.28
2024-07-25 15:23:02,1,1233.78,0.0,1233.78
2024-07-25 15:33:36,1,1185.05,0.0,1185.05
2024-07-25 15:39:14,1,8966.92,0.0,8966.92
2024-07-25 15:58:51,1,975.23,0.0,975.23
2024-07-25 16:00:07,1,0.0,7075.64,7075.64
2024-07-25 16:03:25,1,9261.79,0.0,9261.79
2024-07-25 16:15:23,1,0.0,12530.23,12530.23
2024-07-25 16:42:04,1,0.0,27996.6,27996.6
2024-07-25 17:03:45,1,0.0,20384.59,20384.59
2024-07-25 19:03:52,1,2245.23,0.0,2245.23
2024-07-25 19:27:31,1,0.0,41157.87,41157.87
2024-07-25 20:47:39,1,0.0,47267.64,47267.64
2024-07-25 21:36:38,1,0.0,17912.11,17912.11
2024-07-25 21:58:53,1,0.0,91459.57,91459.57
2024-07-25 23:00:33,1,0.0,5157.27,5157.27
2024-07-25 23:44:39,1,0.0,962.1,962.1
2024-07-26 00:07:13,1,0.0,19712.35,19712.35
2024-07-26 00:20:33,1,0.0,1161.45,1161.45
2024-07-26 00:44:20,1,138036.44,0.0,138036.44
2024-07-26 01:45:17,1,0.0,20689.19,20689.19
2024-07-26 01:53:14,1,130395.55,0.0,130395.55
2024-07-26 02:38:56,1,0.0,62175.76,62175.76
2024-07-26 03:58:28,1,42051.17,0.0,42051.17
2024-07-26 04:05:32,1,0.0,2842.02,2842.02
2024-07-26 04:22:31,1,0.0,83727.0,83727.0
2024-07-26 05:51:03,1,100411.84,0.0,100411.84
2024-07-26 06:51:20,1,0.0,20227.96,20227.96
2024-07-26 07:17:13,1,275.18,0.0,275.18
2024-07-26 07:37:29,1,8468.96,0.0,8468.96
2024-07-26 08:03:33,1,0.0,7585.04,7585.04
2024-07-26 08:23:15,1,6697.16,0.0,6697.16
2024-07-26 08:29:11,1,62564.15,0.0,62564.15
2024-07-26 08:43:09,1,4234.16,0.0,4234.16
2024-07-26 08:47:02,1,0.0,5106.52,5106.52
2024-07-26 08:47:37,1,125301.01,0.0,125301.01
2024-07-26 09:18:47,1,8743.73,0.0,8743.73
2024-07-26 09:26:39,1,0.0,42275.51,42275.51
2024-07-26 09:34:18,1,0.0,66857.91,66857.91
2024-07-26 09:43:53,1,13206.78,0.0,13206.78
2024-07-26 10:12:01,1,0.0,39828.47,39828.47
2024-07-26 11:21:12,1,0.0,58141.09,58141.09
2024-07-26 11:26:56,1,516.71,0.0,516.71
2024-07-26 12:36:30,1,0.0,4463.6,4463.6
2024-07-26 12:39:50,1,37576.34,0.0,37576.34
2024-07-26 13:25:59,1,0.0,24394.68,24394.68
2024-07-26 13:28:54,1,0.0,10435.55,10435.55
2024-07-26 14:51:52,1,0.0,17791.22,17791.22
2024-07-26 14:58:28,1,0.0,4403.08,4403.08
2024-07-26 15:17:09,1,4510.1,0.0,4510.1
2024-07-26 16:38:36,1,4945.95,0.0,4945.95
2024-07-26 17:10:13,1,28919.83,0.0,28919.83
2024-07-26 17:26:40,1,0.0,28007.71,28007.71
2024-07-26 17:45:30,1,0.0,17093.2,17093.2
2024-07-26 17:59:18,1,0.0,36877.17,36877.17
2024-07-26 18:01:04,1,0.0,21537.02,21537.02
2024-07-26 18:14:24,1,0.0,848.95,848.95
2024-07-26 19:02:11,1,0.0,20250.63,20250.63
2024-07-26 19:08:11,1,0.0,4654.65,4654.65
2024-07-26 19:14:33,1,126678.51,0.0,126678.51
2024-07-26 19:25:11,1,0.0,2367.48,2367.48
2024-07-26 20:35:51,1,7755.25,0.0,7755.25
2024-07-26 21:36:02,1,2250.06,0.0,2250.06
2024-07-26 22:01:17,1,0.0,11085.08,11085.08
2024-07-26 22:02:24,1,0.0,39399.64,39399.64
2024-07-26 22:25:04,1,0.0,27197.81,27197.81
2024-07-26 23:54:33,1,2709.56,0.0,2709.56
2024-07-26 23:56:17,1,43854.15,0.0,43854.15
2024-07-27 00:01:53,1,11990.68,0.0,11990.68
2024-07-27 00:12:14,1,1986.76,0.0,1986.76
2024-07-27 00:30:40,1,14345.84,0.0,14345.84
2024-07-27 00:51:44,1,15133.48,0.0,15133.48
2024-07-27 02:30:51,1,0.0,29765.89,29765.89
2024-07-27 02:52:10,1,2954.5,0.0,2954.5
2024-07-27 02:55:35,1,0.0,42929.21,42929.21
2024-07-27 03:38:11,1,36306.13,0.0,36306.13
2024-07-27 04:24:34,1,35111.81,0.0,35111.81
2024-07-27 04:46:00,1,0.0,14306.04,14306.04
2024-07-27 04:58:00,1,0.0,82477.39,82477.39
2024-07-27 06:32:40,1,0.0,40970.34,40970.34
2024-07-27 07:01:09,1,0.0,4795.6,4795.6
2024-07-27 07:09:57,1,0.0,9379.62,9379.62
2024-07-27 07:10:36,1,0.0,14379.41,14379.41
2024-07-27 07:12:47,1,2794.8,0.0,2794.8
2024-07-27 07:21:30,1,41297.51,0.0,41297.51
2024-07-27 08:11:41,1,5799.02,0.0,5799.02
2024-07-27 08:45:18,1,3832.37,0.0,3832.37
2024-07-27 09:02:14,1,0.0,35922.14,35922.14
2024-07-27 09:13:57,1,0.0,61630.19,61630.19
2024-07-27 09:55:03,1,97956.17,0.0,97956.17
2024-07-27 10:01:31,1,0.0,7293.79,7293.79
2024-07-27 10:28:45,1,0.0,19498.64,19498.64
2024-07-27 10:33:51,1,0.0,41964.92,41964.92
2024-07-27 10:49:11,1,0.0,44132.67,44132.67
2024-07-27 11:11:00,1,3376.92,0.0,3376.92
2024-07-27 11:23:19,1,0.0,18571.14,18571.14
2024-07-27 11:33:43,1,0.0,8246.68,8246.68
2024-07-27 11:48:51,1,0.0,5460.42,5460.42
2024-07-27 12:12:40,1,0.0,18068.4,18068.4
2024-07-27 12:44:51,1,0.0,13456.47,13456.47
2024-07-27 13:01:19,1,0.0,10146.13,10146.13
2024-07-27 13:10:22,1,0.0,74293.6,74293.6
2024-07-27 13:13:18,1,0.0,18860.99,18860.99
2024-07-27 14:20:17,1,0.0,323.16,323.16
2024-07-27 14:20:57,1,0.0,30475.29,30475.29
2024-07-27 15:12:32,1,0.0,4029.1,4029.1
2024-07-27 15:47:19,1,0.0,47479.13,47479.13
2024-07-27 15:56:25,1,31428.62,0.0,31428.62
2024-07-27 16:02:20,1,0.0,64860.82,64860.82
2024-07-27 16:19:17,1,8758.84,0.0,8758.84
2024-07-27 16:29:57,1,5088.08,0.0,5088.08
2024-07-27 16:31:50,1,0.0,17643.48,17643.48
2024-07-27 16:32:52,1,3927.61,0.0,3927.61
2024-07-27 16:48:51,1,0.0,2112.55,2112.55
2024-07-27 17:18:06,1,0.0,11628.37,11628.37
2024-07-27 17:20:29,1,0.0,34732.46,34732.46
2024-07-27 17:24:33,1,6941.77,0.0,6941.77
2024-07-27 17:41:40,1,0.0,15536.7,15536.7
2024-07-27 17:51:58,1,0.0,32948.79,32948.79
2024-07-27 17:53:47,1,0.0,16744.91,16744.91
2024-07-27 18:15:01,1,41704.97,0.0,41704.97
2024-07-27 18:21:54,1,0.0,9395.27,9395.27
2024-07-27 18:57:16,1,0.0,6271.42,6271.42
2024-07-27 19:40:07,1,0.0,33257.13,33257.13
2024-07-27 20:23:58,1,0.0,6212.43,6212.43
2024-07-27 20:39:12,1,0.0,80206.57,80206.57
2024-07-27 21:17:30,1,0.0,1291.48,1291.48
2024-07-27 21:53:09,1,0.0,44988.43,44988.43
2024-07-27 22:26:58,1,0.0,10942.57,10942.57
2024-07-27 23:07:33,1,0.0,39634.54,39634.54
2024-07-27 23:13:19,1,0.0,5551.32,5551.32
2024-07-27 23:43:30,1,0.0,5018.91,5018.91
2024-07-28 00:11:05,1,2167.99,0.0,2167.99
2024-07-28 00:11:58,1,0.0,6400.13,6400.13
2024-07-28 00:12:45,1,0.0,4842.28,4842.28
2024-07-28 01:31:50,1,0.0,8157.2,8157.2
2024-07-28 02:31:49,1,0.0,5484.82,5484.82
2024-07-28 02:47:54,1,0.0,13397.5,13397.5
2024-07-28 03:04:41,1,0.0,5453.41,5453.41
2024-07-28 03:04:56,1,0.0,44601.82,44601.82
2024-07-28 03:11:24,1,5158.84,0.0,5158.84
2024-07-28 03:30:13,1,32976.64,0.0,32976.64
2024-07-28 03:52:07,1,0.0,56495.57,56495.57
2024-07-28 03:54:18,1,43267.22,0.0,43267.22
2024-07-28 05:30:31,1,0.0,97857.5,97857.5
2024-07-28 06:48:31,1,0.0,44256.61,44256.61
2024-07-28 07:05:49,1,0.0,8989.25,8989.25
2024-07-28 07:24:07,1,4128.3,0.0,4128.3
2024-07-28 08:10:31,1,32997.93,0.0,32997.93
2024-07-28 08:13:42,1,0.0,32499.45,32499.45
2024-07-28 09:36:59,1,0.0,98433.18,98433.18
2024-07-28 09:38:15,1,23003.34,0.0,23003.34
2024-07-28 10:05:10,1,0.0,10590.75,10590.75
2024-07-28 10:28:44,1,0.0,82045.15,82045.15
2024-07-28 12:16:50,1,0.0,26108.07,26108.07
2024-07-28 12:43:06,1,0.0,757.76,757.76
2024-07-28 13:39:27,1,0.0,72774.96,72774.96
2024-07-28 13:58:55,1,0.0,2799.26,2799.26
2024-07-28 14:19:58,1,0.0,16107.16,16107.16
2024-07-28 14:34:39,1,2760.11,0.0,2760.11
2024-07-28 14:45:14,1,140591.3,0.0,140591.3
2024-07-28 16:18:01,1,4310.13,0.0,4310.13
2024-07-28 17:21:09,1,0.0,83279.02,83279.02
2024-07-28 17:22:53,1,91111.34,0.0,91111.34
2024-07-28 17:40:42,1,0.0,31412.13,31412.13
2024-07-28 18:28:30,1,0.0,37399.78,37399.78
2024-07-28 18:37:27,1,0.0,9018.54,9018.54
2024-07-28 18:37:34,1,0.0,93823.59,93823.59
2024-07-28 18:37:52,1,83695.62,0.0,83695.62
2024-07-28 19:28:58,1,0.0,19710.93,19710.93
2024-07-28 19:47:37,1,0.0,20823.16,20823.16
2024-07-28 19:50:44,1,0.0,32409.52,32409.52
2024-07-28 19:58:17,1,0.0,9067.48,9067.48
2024-07-28 20:11:12,1,0.0,46723.75,46723.75
2024-07-28 20:53:52,1,0.0,4614.96,4614.96
2024-07-28 21:08:07,1,0.0,67484.8,67484.8
2024-07-28 21:20:26,1,0.0,44839.37,44839.37
2024-07-28 21:40:37,1,0.0,5148.77,5148.77
2024-07-28 21:43:24,1,4009.18,0.0,4009.18
2024-07-28 22:09:43,1,0.0,71431.78,71431.78
2024-07-28 22:57:34,1,0.0,16701.0,16701.0
2024-07-28 23:07:46,1,11782.42,0.0,11782.42
2024-07-28 23:27:21,1,8665.53,0.0,8665.53
2024-07-28 23:28:37,1,7535.92,0.0,7535.92
2024-07-29 00:05:26,1,0.0,29352.11,29352.11
